Mouse number x1 y1 x2 y2
2700 0 976 716 1500 1564
2701 1 912 1044 1564 1892
2702 2 976 912 1696 1956
2703 3 1108 1172 1696 1760
2706 4 1044 1240 1564 1956
2708 5 912 976 1564 1824
2713 6 976 1172 1500 1892
2987 7 848 1368 1304 1956
2998 8 912 1368 1304 1824
3016 9 848 1304 1304 1892
3020 10 652 1500 1172 2020
3021 11 976 1696 1500 2284
3022 12 716 1368 1172 1892
3023 13 976 1436 1368 1956
3024 14 976 1240 1436 1824
3025 15 1172 848 1760 1240
3026 16 716 1500 1172 2088
3027 17 780 1564 1172 2088
3028 18 848 1240 1368 1760
3029 19 716 1564 1108 1956
3030 20 848 1500 1240 1956
3031 21 848 1436 1304 1892
3032 22 848 1368 1304 1760
3033 23 780 1436 1172 1824
3034 24 780 1500 1172 1956
3035 25 716 1436 1108 1892
3036 26 780 1564 1172 2020
3037 27 848 1564 1240 2020
3038 28 716 1564 1108 2020
3039 29 780 1368 1240 1824
3043 30 912 1632 1304 2020
3045 31 912 1564 1304 2020
3061 32 976 1500 1368 1956
